index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
	数理・計算科学系	022	准教授	002	山下	真	や	やました	まこと	5	Makoto	Yamashita	数理・計算科学系	022	数理・計算科学コース	022																									数理最適化	Mathematical optimization	応用数学	Applied mathematics	最適化	Optimization	オペレショーンズ・リサーチ	Operations research	http://www.opt.c.titech.ac.jp/lab/index.html	http://www.opt.c.titech.ac.jp/lab/index-e.html	key_rid=5000085611		ﾔﾏｼﾀ	ﾏｺﾄ		
	数理・計算科学系	022	特任准教授	006	ラランジェイラ	マリオ	ら	ららんじぇいら	まりお	3	Mario	Larangeira	数理・計算科学系	022	数理・計算科学コース	022																																			key_t2r2Rid=CTT100740881		ラランジェイラ	マリオ		
	数理・計算科学系	022	特定助教	012	劉	育儒	ら	りゅう	ゆうるう	3	Yu-lu	Liu	数理・計算科学系	022	数理・計算科学コース	022																																					ﾘｭｳ	ﾕｳﾙｳ		
	数理・計算科学系	022	准教授	002	脇田	建	わ	わきた	けん	5	Ken	Wakita	数理・計算科学系	022	数理・計算科学コース	022																									社会ネットワーク解析	Social network analysis	情報可視化	Information visualization	プログラミング言語	Programming language			http://smartnova.net/	http://smartnova.net/	key_rid=1000279158		ﾜｷﾀ	ｹﾝ		
	数理・計算科学系	022	教授	001	渡邊	澄夫	わ	わたなべ	すみお	5	Sumio	Watanabe	数理・計算科学系	022	数理・計算科学コース	022																									数理統計学	Mathematical statistics	応用数学	Applied mathematics	学習理論	Learning theory	人工知能	Artificial intelligence	http://watanabe-www.math.dis.titech.ac.jp/users/swatanab/index-j.html	http://watanabe-www.math.dis.titech.ac.jp/users/swatanab/index.html	key_rid=1000275354		ﾜﾀﾅﾍﾞ	ｽﾐｵ		
																																																								
																																																								
																																																								
																																																								
																																																								
