index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
30	生命理工学系	024	助教	004	金子	真也	か	かねこ	しんや	3	Shinya	Kaneko	生命理工学系	024	生命理工学コース	024																									合成ゲノムデザイン	Synthetic genome 	ゲノム改変操作	Genome design	DNA水平伝播	Horizontal gene transfer	きのこの子実体形成	Fruiting-body formation of mushroom			key_rid=6000003422		ｶﾈｺ	ｼﾝﾔ																																																														
31	生命理工学系	024	准教授	002	加納	ふみ	か	かのう	ふみ	3	Fumi	Kano	生命理工学系	024	生命理工学コース	024																									細胞編集工学	Cell editing	iPS細胞	iPS cells	次世代イメージング画像解析	Frontier image analysis			http://kanolab.rcb.iir.titech.ac.jp	http://kanolab.rcb.iir.titech.ac.jp	key_rid=B000219382		ｶﾉｳ	ﾌﾐ																																																														
32	生命理工学系	024	教授	001	蒲池	利章	か	かまち	としあき	3	Toshiaki 	Kamachi	生命理工学系	024	生命理工学コース	024	生命理工学系	024	ライフエンジニアリングコース	003																					生物無機化学	Bioinorganic chemistry	光エネルギー変換	Photoenergy transduction	細胞内酸素濃度イメージング	Cellular oxygen concentration imaging			http://www.kamachi.bio.titech.ac.jp	http://www.kamachi.bio.titech.ac.jp	key_rid=1000203990		ｶﾏﾁ	ﾄｼｱｷ																																																														
33	生命理工学系	024	助教	004	神原	孝之	か	かみはら	たかゆき	3	Takayuki	Kamihara	生命理工学系	024	生命理工学コース	024																									固体NMR	Solid-state NMR	物理化学	Physical chemistry	量子化学	Quantum chemistry	タンパク質	Protein			key_rid=B000367859		ｶﾐﾊﾗ	ﾀｶﾕｷ																																																														
34	生命理工学系	024	准教授	002	川上	厚志	か	かわかみ	あつし	3	Atsushi	Kawakami	生命理工学系	024	生命理工学コース	024																									再生生物学	Regenerative biology	発生生物学	Developmental biology					http://www.kawakami.bio.titech.ac.jp/	http://www.kudo.bio.titech.ac.jp/index002.html	key_rid=5000001996		ｶﾜｶﾐ	ｱﾂｼ																																																														
35	生命理工学系	024	教授	001	北尾	彰朗	か	きたお	あきお	3	Akio	Kitao	生命理工学系	024	生命理工学コース	024																									タンパク質ダイナミクス	Protein dynamics	計算生物学	Computational biology	生物物理学	Biophysics	理論化学	Computational chemistry	http://www.kitao.bio.titech.ac.jp/	http://www.kitao.bio.titech.ac.jp/indexE.html	key_rid=1000221205		ｷﾀｵ	ｱｷｵ																																																														
	生命理工学系	024	准教授	002	北口	哲也	か	きたぐち	てつや	3	Tetsuya	Kitaguchi	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					蛍光タンパク質	Fluorescent protein	バイオセンサー	Biosensor	細胞生物学	Cell biology	抗体工学	Antibody engineering	http://www.ueda.res.titech.ac.jp/		key_t2r2Rid=CTT100740856		ｷﾀｸﾞﾁ	ﾃﾂﾔ																																																														
36	生命理工学系	024	教授	001	木村	宏	か	きむら	ひろし	3	Hiroshi	Kimura	生命理工学系	024	生命理工学コース	024																									エピジェネティクス	Epigenetics	細胞核	Cell nucleus	転写制御	Transcription	生細胞イメージング	Live cell imaging	http://kimura-lab.bio.titech.ac.jp/index.html	http://kimura-lab.bio.titech.ac.jp/index.html	key_rid=B000243419		ｷﾑﾗ	ﾋﾛｼ																																																														
37	生命理工学系	024	教授	001	金原	数	か	きんばら	かずし	3	Kazushi	Kinbara	生命理工学系	024	生命理工学コース	024																									有機化学	Organic chemistry	超分子化学	Supramolecular chemistry	バイオマテリアル	Biomaterials chemistry	タンパク質工学	Protein engineering	http://www.kinbara.bio.titech.ac.jp/jp/	http://www.kinbara.bio.titech.ac.jp	key_rid=6000015457		ｷﾝﾊﾞﾗ	ｶｽﾞｼ																																																														
38	生命理工学系	024	教授	001	粂	昭苑	か	くめ	しょうえん	3	Shoen	Kume	生命理工学系	024	生命理工学コース	024																									多能性幹細胞	Pluripotent stem cells	分化誘導	Directed differentiation	発生分化	Development & differentiation	再生医療	Regenerative medicine	http://www.bio.titech.ac.jp/laboratory/kume-shiraki/index.html	http://www.bio.titech.ac.jp/english/laboratory/kume-shiraki/index.html	key_t2r2Rid=CTT100679005		ｸﾒ	ｼｮｳｴﾝ																																																														
39	生命理工学系	024	助教	004	桑原	宏和	か	くわはら	ひろかず	3	Hirokazu	Kuwahara	生命理工学系	024	生命理工学コース	024																									共生生物学	Symbiology	ゲノム	Genome	難培養微生物	Uncultured microbes			http://www.hongoh.bio.titech.ac.jp/	http://www.hongoh.bio.titech.ac.jp/english/indexe.html	key_rid=B000347193		ｸﾜﾊﾗ	ﾋﾛｶｽﾞ																																																														
