index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
47	材料系	020	准教授	002	柘植	丈治	た	つげ	たけはる	4	Takeharu	Tsuge	材料系	020	ライフエンジニアリングコース	003	材料系	020	材料コース	020																					バイオマスプラスチック	Bio-based plastic	生分解性高分子	Biodegradable polymer	バイオプロセス	Bioprocess	化学合成無機栄養細菌	Chemolithotrophic bacteria	http://www.tsuge.iem.titech.ac.jp/	http://www.tsuge.iem.titech.ac.jp/	key_rid=5000039894		ﾂｹﾞ	ﾀｹﾊﾙ				
	電気電子系	017	助教	004	當麻	真奈	た	とうま	まな	4	Mana	Toma	電気電子系	017	ライフエンジニアリングコース	003																									プラズモニクス	Plasmonics	バイオセンサ	Biosensor							key_rid=7000012167		ﾄｳﾏ	ﾏﾅ				
	電気電子系	017	教授	001	德田	崇	た	とくだ	たかし	4	Takashi	Tokuda	電気電子系	017	ライフエンジニアリングコース	003	電気電子系	017	電気電子コース	017																					CMOSセンサ	CMOS sensor	生体埋め込みデバイス	Implantable devices	ワイヤレスデバイス	Wireless devices	IoTデバイス	IoT devices	http://www.tokuda-lab.ee.e.titech.ac.jp/index.html	http://www.tokuda-lab.ee.e.titech.ac.jp/index-e.html	key_rid=1000301431		ﾄｸﾀﾞ	ﾀｶｼ				
	情報通信系	018	准教授	002	永井	岳大	な	ながい 	たけひろ	3	Takehiro	Nagai	情報通信系	018	ライフエンジニアリングコース	003	情報通信系	018	情報通信コース	018																													https://sites.google.com/view/tokyotech-ice-nagailab/	https://sites.google.com/view/tokyotech-ice-nagailab-e/	key_rid=5000085910		ﾅｶﾞｲ 	ﾀｹﾋﾛ				
48	電気電子系	017	教授	001	中村	健太郎	な	なかむら	けんたろう	3	Kentaro	Nakamura	電気電子系	017	ライフエンジニアリングコース	003	電気電子系	017	電気電子コース	017	情報通信系	018	情報通信コース	018																	圧電超音波デバイス	Applied acoustic devices	光・超音波センシング	Optical and acoustic sensing	光ファイバセンサ	Optical fiber sensor			http://www.nakamura.pi.titech.ac.jp/	http://www.nakamura.pi.titech.ac.jp/	key_rid=1000015740		ﾅｶﾑﾗ	ｹﾝﾀﾛｳ				
50	生命理工学系	024	教授	001	中村	浩之	な	なかむら	ひろゆき	3	Hiroyuki	Nakamura	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					有機化学	Organic chemistry	創薬化学	Medicinal chemistry	ケミカルバイオロジー	Chemical biology	中性子捕捉療法	Boron neutron capture therapy	http://syn.res.titech.ac.jp/	http://syn.res.titech.ac.jp/en/	key_rid=5000032231		ﾅｶﾑﾗ	ﾋﾛﾕｷ				
51	情報通信系	018	教授	001	中本	高道	な	なかもと	たかみち	3	Takamichi	Nakamoto	情報通信系	018	情報通信コース	018	電気電子系	017	電気電子コース	017	情報通信系	018	ライフエンジニアリングコース	003																	知覚情報処理	Intelligent information processing	ヒューマン嗅覚インタフェース	Human olfactory interface	嗅覚ディスプレイ	Olfactory display	嗅覚センサ	Olfactory sensor	http://silvia.mn.ee.titech.ac.jp/	http://silvia.mn.ee.titech.ac.jp/html_en/index_en.html	key_rid=1000015444		ﾅｶﾓﾄ	ﾀｶﾐﾁ				
52	生命理工学系	024	教授	001	西山	伸宏	な	にしやま	のぶひろ	3	Nobuhiro	Nishiyama	生命理工学系	024	ライフエンジニアリングコース	003	生命理工学系	024	生命理工学コース	024																					ナノ医薬品	Nanomedicine	DDS	DDS	ナノテクノロジー	Nanotechnology	機能性高分子	Polymer chemistry	http://www.bmw.res.titech.ac.jp	http://www.bmw.res.titech.ac.jp/index-e.html	key_t2r2Rid=CTT100647197		ﾆｼﾔﾏ	ﾉﾌﾞﾋﾛ				
53	生命理工学系	024	助教	004	野亦	次郎	な	のまた	じろう	3	Jiro	Nomata	生命理工学系	024	ライフエンジニアリングコース	003																									レドックス制御機構	Redox regulation system	嫌気生化学	Anaerobic biochemistry					http://www.res.titech.ac.jp/~junkan/Hisabori_HomePage/nomata.html		key_t2r2Rid=CTT100604980		ﾉﾏﾀ	ｼﾞﾛｳ				
54	生命理工学系	024	助教	004	野本	貴大	な	のもと	たかひろ	3	Takahiro	Nomoto	生命理工学系	024	ライフエンジニアリングコース	003																									バイオマテリアル	Biomaterials	ドラッグデリバリーシステム	Drug delivery systems					http://www.bmw.res.titech.ac.jp	http://www.bmw.res.titech.ac.jp/index-e.html	key_t2r2Rid=CTT100669190		ﾉﾓﾄ	ﾀｶﾋﾛ				
