index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
38	建築学系	025	特任准教授	006	平賀	あまな	は	ひらが	あまな	2	Amana	Hiraga	建築学系	025	都市・環境学コース	006																																			key_t2r2Rid=CTT100703966		ﾋﾗｶﾞ	ｱﾏﾅ						
	土木・環境工学系	026	特定教授	009	福田	大輔	は	ふくだ	だいすけ	2	Daisuke	Fukuda	土木・環境工学系	026	土木工学コース	026	土木・環境工学系	026	都市・環境学コース	006																					交通計画	Transportation planning	交通工学	Traffic engineering	交通経済学	Transportation planning	交通行動分析	Travel behavior analysis	http://fukudalab.jpn.org/	http://fukudalab.jpn.org/en/	key_rid=1000326053		ﾌｸﾀﾞ	ﾀﾞｲｽｹ						
40	建築学系	025	准教授	002	藤田	康仁	は	ふじた	やすひと	2	Yasuhito	Foujita	建築学系	025	都市・環境学コース	006																									建築史	Architectural history	都市史	Urban history	歴史建築・都市環境の保全	Conservation of historical buildings and townscape			https://architurismo.wordpress.com	https://architurismo.wordpress.com	key_rid=1000321515		ﾌｼﾞﾀ	ﾔｽﾋﾄ						
41	機械系	015	准教授	002	古谷	寛	は	ふるや	ひろし	2	Hiroshi	Furuya	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	建築学系	025	都市・環境学コース	006																	展開構造物の概念と力学特性	Concept and mechanics of deployable structures	高機能宇宙構造物	Advanced space structures	構造最適設計	Structural analysys and cptimum design	宇宙環境下における形態創出	Morphology in space environment	http://www.sse.mech.e.titech.ac.jp/cgi-bin/fswiki/index.cgi?page=SSMA+Top		key_rid=1000181784		ﾌﾙﾔ	ﾋﾛｼ						
	土木・環境工学系	026	特定准教授	010	ポン	ヴェン キエン	は	ぽん	ヴぇんきえん	4	Veng Kheang	Phun	土木・環境工学系	026	都市・環境学コース	006																									交通計画と交通政策	Transport planning and policy	空港管理と騒音対策	Airport management and environment	交通安全と認知	Traffic safety and perception				https://sites.google.com/view/phunvengkheang/home	key_t2r2Rid=CTT100613320		ﾎﾟﾝ	ｳﾞｪﾝｷｴﾝ						
42	建築学系	025	教授	001	松岡	昌志	ま	まつおか	まさし	3	Masashi	Matsuoka	建築学系	025	都市・環境学コース	006	土木・環境工学系	026	都市・環境学コース	006																					地震工学	Earthquake engineering	空間情報学	Geoinformatics	リモートセンシング	Remote sensing	GIS	Geographic information system	https://sites.google.com/view/matsuokamtokyotech/	https://sites.google.com/view/matsuokamtokyotech/	key_rid=6000003704		ﾏﾂｵｶ	ﾏｻｼ						
43	建築学系	025	准教授	002	真野	洋介	ま	まの	ようすけ	3	Yosuke	Mano	建築学系	025	都市・環境学コース	006	土木・環境工学系	026	都市・環境学コース	006																					都市計画	Urban design and planning	まちづくり	Community design	都市・地域再生	Urban regeneration and local revitalization	震災復興計画	Reconstruction planning for earthquake disaster	http://www.arch.titech.ac.jp/manolab/index.html	http://www.arch.titech.ac.jp/manolab/index.html	key_rid=5000085882		ﾏﾉ	ﾖｳｽｹ						
45	土木・環境工学系	026	准教授	002	室町	泰徳	ま	むろまち	やすのり	3	Yasunori	Muromachi	土木・環境工学系	026	都市・環境学コース	006	土木・環境工学系	026	土木工学コース	026	建築学系	025	都市・環境学コース	006																	都市計画	Urban planning	都市交通計画	Urban transportation planning	交通と環境	Transport and the environment			http://www.muromachi.enveng.titech.ac.jp/	http://www.muromachi.enveng.titech.ac.jp/YMUROIDE1303.html	key_rid=5000039836		ﾑﾛﾏﾁ	ﾔｽﾉﾘ						
46	建築学系	025	教授	001	元結	正次郎	ま	もとゆい	しょうじろう	3	Shojiro	Motoyui	建築学系	025	都市・環境学コース	006																									建築構造	Building structure	建築非構造要素	Building non-structural components	空間構造	Spatial structure	数値解析	Numerical analysis	http://www.motoyui.enveng.titech.ac.jp/	http://www.motoyui.enveng.titech.ac.jp/	key_rid=1000181785		ﾓﾄﾕｲ	ｼｮｳｼﾞﾛｳ						
47	土木・環境工学系	026	教授	001	盛川	仁	ま	もりかわ	ひとし	3	Hitoshi	Morikawa	土木・環境工学系	026	都市・環境学コース	006	土木・環境工学系	026	土木工学コース	026	建築学系	025	都市・環境学コース	006																	地震工学	Earthquake engineering	工学地震学	Engineering seismology	確率過程論	Stochastic process	地震防災教育	Education for disaster mitigation	http://quake.enveng.titech.ac.jp/		key_rid=1000182637		ﾓﾘｶﾜ	ﾋﾄｼ						
