index	siteName	code	job	jobCode	lastName	firstName	category	lastNameHiragana	firstNameHiragana	categoryNumber	firstNameEnglish	lastNameEnglish	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	selection	selectionCode	url	url	id		lastNameKatakana	firstNameKatakana				
42	機械系	015	教授	001	進士	忠彦	さ	しんし	ただひこ	4	Tadahiko	Shinshi	機械系	015	機械コース	015	機械系	015	ライフエンジニアリングコース	003																					マイクロ・ナノメカトロニクス	Micro-nano mechatronics	医用メカトロニクス	Medical mechatronics	精密機械要素	Precision machince devices	磁気浮上	Magnetic levitation	http://www.precisionmechatronics.mech.e.titech.ac.jp/		key_rid=7000018087		ｼﾝｼ	ﾀﾀﾞﾋｺ				
44	機械系	015	教授	001	末包	哲也	さ	すえかね	てつや	4	Tetsuya	Suekane	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					二酸化炭素地下貯留	Carbon dioxide capture and storage（CCS）	原油増進回収	Enhanced oil recovery（EOR)	温暖化防止	Mitigation of global warming	エネルギー変換	Energy conversion	http://www.suekane.mech.e.titech.ac.jp/index-j.html	http://www.suekane.mech.e.titech.ac.jp/	key_rid=B000260459		ｽｴｶﾈ	ﾃﾂﾔ				
45	機械系	015	准教授	002	菅原	雄介	さ	すがはら	ゆうすけ	4	Yusuke	Sugahara	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	融合理工学系	027	エンジニアリングデザインコース	002																	ロボット工学	Robotics	機構とシステムの設計と制御	Design and control of mechanisms and systems	空力浮上式鉄道「エアロトレイン」	Aero-train: aerodynamically levitated train system 			http://www.msd.mech.e.titech.ac.jp/jp/	http://www.msd.mech.e.titech.ac.jp/en/	key_rid=B000004424		ｽｶﾞﾊﾗ	ﾕｳｽｹ				
45	機械系	015	助教	004	杉田	直広	さ	すぎた	なおひろ	4	Naohiro	Sugita	機械系	015	機械コース	015																									気泡力学	Bubble dynamics	キャビテーション	Cavitation	非線形振動	Nonlinear oscillation	流体構造連成	Fluid-structure interaction	http://www.nano.pi.titech.ac.jp/		key_t2r2Rid=CTT100794801		ｽｷﾞﾀ	ﾅｵﾋﾛ				
46	機械系	015	助教	004	鈴木	祐二	さ	すずき	ゆうじ	4	Yuji	Suzuki	機械系	015	機械コース	015																									熱流体工学	Thermal and fluid engineering	伝熱工学	Heat transfer	熱輸送デバイス	Heat transport device			http://www.netsu.mech.e.titech.ac.jp/index-j.html	http://www.netsu.mech.e.titech.ac.jp/	key_rid=1000279152		ｽｽﾞｷ	ﾕｳｼﾞ				
47	機械系	015	助教	004	鈴木	良郎	さ	すずき	よしろう	4	Yoshiro	Suzuki	機械系	015	機械コース	015																									マルチスケール数値解析	Multi-scale numerical analysis	非破壊検査	Non-destructive inspection	複合材料	Composite materila			http://www.fracture.mech.e.titech.ac.jp/index-j.html	http://www.fracture.mech.e.titech.ac.jp/	key_t2r2Rid=CTT100519725		ｽｽﾞｷ	ﾖｼﾛｳ				
48	機械系	015	教授	001	鈴森	康一	さ	すずもり	こういち	4	Koichi	Suzumori	機械系	015	機械コース	015																									ニューアクチュエータ	New actuator	ロボット機構	Robot mechanisms	ロボティクス	Robotics	人工筋肉	Artificial muscle	http://www-robot.mes.titech.ac.jp/home.html		key_rid=1000363105		ｽｽﾞﾓﾘ	ｺｳｲﾁ				
49	機械系	015	助教	004	関口	悠	さ	せきぐち	ゆう	4	Yu	Sekiguchi	機械系	015	機械コース	015																									材料力学	Material mechanics	破壊力学	Fracture mechanics	接着接合	Adhesive bonding	表面・界面	Surface/Interface	http://www.csato.pi.titech.ac.jp/	http://www.csato.pi.titech.ac.jp/	key_t2r2Rid=CTT100510458		ｾｷｸﾞﾁ	ﾕｳ				
50	機械系	015	教授	001	髙原	弘樹	た	たかはら	ひろき	4	Hiroki	Takahara	機械系	015	機械コース	015																									容器内液面の非線形振動	Characteristics of nonlinear sloshing	ミスチューンを有する翼・ディスク系の振動特性	Vibration characteristics of mistuned bladed disk					http://www.vib-eng.mech.e.titech.ac.jp/ja/index.html	http://www.vib-eng.mech.e.titech.ac.jp/en/index.html	key_rid=1000015407		ﾀｶﾊﾗ	ﾋﾛｷ				
51	機械系	015	准教授	002	髙山	俊男	た	たかやま	としお	4	Toshio	Takayama	機械系	015	機械コース	015																									機構	Mechanism	医療機器	Medical device	ソフトロボット	Soft robot	マイクロ流体デバイス	Microfluidic device	http://www.takayamalab.mech.e.titech.ac.jp/		key_rid=5000094695		ﾀｶﾔﾏ	ﾄｼｵ				
52	機械系	015	教授	001	武田	行生	た	たけだ	ゆきお	4	Yukio	Takeda	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002	融合理工学系	027	エンジニアリングデザインコース	002																	機械システム設計	Mechanical systems design	ロボット工学	Robotics	機構学	Kinematics	福祉機械	Assistive device	http://www.msd.mech.e.titech.ac.jp/jp/	http://www.msd.mech.e.titech.ac.jp/en/	key_rid=1000015339		ﾀｹﾀﾞ	ﾕｷｵ				
52	機械系	015	助教	004	田島	真吾	た	たじま	しんご	4	Shingo	Tajima	機械系	015	機械コース	015																									超精密加工	Ultraprecision machining	軌跡生成	Trajectory generation	システム制御	System control	動作計画	Motion planning	http://www.upm.pi.titech.ac.jp/	http://www.upm.pi.titech.ac.jp/	key_t2r2Rid=CTT100800209		ﾀｼﾞﾏ	ｼﾝｺﾞ				
53	機械系	015	准教授	002	只野	耕太郎	た	ただの	こうたろう	4	Kotaro	Tadano	機械系	015	ライフエンジニアリングコース	003	機械系	015	機械コース	015																					ロボティクス	Robotics	医用システム	Medical systems	人間機械システム	Man-machine systems	空気圧システム	Pneumatics systems	http://www.k-k.pi.titech.ac.jp/	http://www.k-k.pi.titech.ac.jp/	key_rid=5000093859		ﾀﾀﾞﾉ	ｺｳﾀﾛｳ				
	機械系	015	特任准教授	006	田中	真二	た	たなか	しんじ	4	Shinji	Tanaka	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					トライボロジー	Tribology	機械要素	Machine elements	流体機械	Fluid machinery			http://komatsu.first.iir.titech.ac.jp/index.html		key_rid=1000275221		ﾀﾅｶ	ｼﾝｼﾞ				
55	機械系	015	准教授	002	田中	智久	た	たなか	ともひさ	4	Tomohisa	Tanaka	機械系	015	機械コース	015																									加工システム	Machining system	次世代加工	Non-traditional machining	トライボロジー	Tribology	生産工学	Production engineering	http://www.chitose.mep.titech.ac.jp/	http://www.chitose.mep.titech.ac.jp/index_en.html	key_rid=B000347905		ﾀﾅｶ	ﾄﾓﾋｻ				
56	機械系	015	准教授	002	田中	博人	た	たなか	ひろと	4	Hiroto	Tanaka	機械系	015	機械コース	015																									生物飛行・遊泳	Animal flight and swimming	羽ばたき飛行ロボット	Flapping-wing aerial robots	マイクロ加工	Micro fabrication	流体力学	Fluid dynamics	http://www.tanakah.mech.e.titech.ac.jp/index.html	http://www.tanakah.mech.e.titech.ac.jp/index_e.html	key_t2r2Rid=CTT100698898		ﾀﾅｶ	ﾋﾛﾄ				
58	機械系	015	教授	001	店橋	護	た	たなはし	まもる	4	Mamoru	Tanahashi	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					乱流	Turbulent flows	反応性乱流	Turbulent reacting flows	レーザー計測	Laser diagnostics	高性能数値計算	High performance computing	http://www.reactiveflows.mech.e.titech.ac.jp/	http://www.reactiveflows.mech.e.titech.ac.jp/index_en.html	key_rid=1000015412		ﾀﾅﾊｼ	ﾏﾓﾙ				
59	機械系	015	助教	004	中条	俊大	た	ちゅうじょう	としひろ	1	Toshihiro	Chujo	機械系	015	機械コース	015																									宇宙機システム	Spacecraft system	宇宙機ダイナミクス	Astrodynamics	深宇宙探査	Deep space exploration	粉体シミュレーション	Granular dynamics simulation	http://lss.mes.titech.ac.jp/	http://lss.mes.titech.ac.jp/index_e.html	key_rid=B000300257		ﾁｭｳｼﾞｮｳ	ﾄｼﾋﾛ				
60	機械系	015	教授	001	轟	章	た	とどろき	あきら	4	Akira	Todoroki	機械系	015	機械コース	015																									多機能複合材料	Multifunctional composites	複合材料の最適設計	Optimal design of composites	複合材料の成形	Fabrication of Composites	破壊力学	Fracture mechanics	http://www.fracture.mech.e.titech.ac.jp/index-j.html	http://www.fracture.mech.e.titech.ac.jp/	key_rid=1000015397		ﾄﾄﾞﾛｷ	ｱｷﾗ				
62	機械系	015	助教	004	中川	佑貴	な	なかがわ	ゆうき	3	Yuki	Nakagawa	機械系	015	機械コース	015																									3Dプリンティング	3D printing	微細塑性加工	Micro plastic forming	板材成形	Sheet metal forming	ホットスタンピング	Hot stamping	http://www.yocky.mech.e.titech.ac.jp/index.html		key_t2r2Rid=CTT100772427		ﾅｶｶﾞﾜ	ﾕｳｷ				
63	機械系	015	准教授	002	長﨑	孝夫	な	ながさき	たかお	3	Takao	Nagasaki	機械系	015	エネルギーコース	001	機械系	015	機械コース	015																					熱工学	Thermal engineering	伝熱	Heat transfer	相変化伝熱	Phase-change heat transfer	熱流体数値解析	Numerical analysis of heat and fluid flow	http://www.nagasaki.mech.e.titech.ac.jp/	http://www.nagasaki.mech.e.titech.ac.jp/index-e.html	key_t2r2Rid=CTT100381289		ﾅｶﾞｻｷ	ﾀｶｵ				
64	機械系	015	准教授	002	中西	洋喜	な	なかにし	ひろき	3	Hiroki	Nakanishi	機械系	015	機械コース	015	機械系	015	エンジニアリングデザインコース	002																					宇宙工学	Space engineering	ロボティクス	Robotics					http://www.srobot.mech.e.titech.ac.jp/	http://www.srobot.mech.e.titech.ac.jp/index_e.html	key_rid=5000044623		ﾅｶﾆｼ	ﾋﾛｷ				
